,Start_Time,SPEED,Coolant Temp,Engine Load,Timing Advance,Short Trim B1,Long Trim B1,MAF,Throttle_pos_B,End_Time
30,1725084225.7883341,44.0 kilometer_per_hour,93 degree_Celsius,41.568627450980394 percent,29.5 degree,,,,21.568627450980394 percent,1725084226.0234785
31,1725084226.3179543,44.0 kilometer_per_hour,93 degree_Celsius,52.549019607843135 percent,28.0 degree,,,,22.745098039215687 percent,1725084226.5537705
32,1725084226.8481884,44.0 kilometer_per_hour,93 degree_Celsius,64.70588235294117 percent,25.5 degree,,,,23.529411764705884 percent,1725084227.0840328
33,1725084227.3792446,44.0 kilometer_per_hour,93 degree_Celsius,68.62745098039215 percent,25.0 degree,,,,23.92156862745098 percent,1725084227.6155553
34,1725084227.9104857,45.0 kilometer_per_hour,94 degree_Celsius,67.45098039215686 percent,24.5 degree,,,,23.92156862745098 percent,1725084228.1471727
35,1725084228.4429457,45.0 kilometer_per_hour,94 degree_Celsius,66.27450980392157 percent,24.5 degree,,,,23.529411764705884 percent,1725084228.6792266
36,1725084228.9748569,46.0 kilometer_per_hour,94 degree_Celsius,65.49019607843137 percent,24.5 degree,,,,23.529411764705884 percent,1725084229.2123141
37,1725084229.5085754,46.0 kilometer_per_hour,94 degree_Celsius,65.09803921568627 percent,24.5 degree,,,,23.529411764705884 percent,1725084229.7457435
0,1725084242.508489,31.0 kilometer_per_hour,92 degree_Celsius,53.72549019607843 percent,28.0 degree,,,,20.0 percent,1725084242.7482162
1,1725084243.0471556,31.0 kilometer_per_hour,92 degree_Celsius,56.07843137254902 percent,28.5 degree,,,,20.784313725490197 percent,1725084243.28679
2,1725084243.5859866,31.0 kilometer_per_hour,92 degree_Celsius,59.6078431372549 percent,27.5 degree,,,,20.392156862745097 percent,1725084243.8256521
3,1725084244.1249652,31.0 kilometer_per_hour,92 degree_Celsius,60.78431372549019 percent,27.5 degree,,,,20.784313725490197 percent,1725084244.3643405
4,1725084244.6637223,31.0 kilometer_per_hour,92 degree_Celsius,64.31372549019608 percent,26.5 degree,,,,21.176470588235293 percent,1725084244.9032807
5,1725084245.2022858,31.0 kilometer_per_hour,92 degree_Celsius,65.88235294117646 percent,26.5 degree,,,,21.176470588235293 percent,1725084245.4423242
6,1725084245.741622,31.0 kilometer_per_hour,92 degree_Celsius,68.62745098039215 percent,26.0 degree,,,,21.568627450980394 percent,1725084245.9809897
7,1725084246.2804277,31.0 kilometer_per_hour,92 degree_Celsius,36.07843137254902 percent,33.0 degree,,,,16.470588235294116 percent,1725084246.520498
8,1725084246.8196805,31.0 kilometer_per_hour,92 degree_Celsius,30.58823529411765 percent,33.5 degree,,,,16.07843137254902 percent,1725084247.0593336
9,1725084247.3588243,30.0 kilometer_per_hour,91 degree_Celsius,25.88235294117647 percent,29.5 degree,,,,15.686274509803921 percent,1725084247.5986252
10,1725084247.898076,29.0 kilometer_per_hour,91 degree_Celsius,52.549019607843135 percent,11.0 degree,,,,21.96078431372549 percent,1725084248.1374846
11,1725084248.437178,29.0 kilometer_per_hour,91 degree_Celsius,69.80392156862744 percent,22.5 degree,,,,22.745098039215687 percent,1725084248.6769392
12,1725084248.976301,29.0 kilometer_per_hour,91 degree_Celsius,76.47058823529412 percent,22.0 degree,,,,23.529411764705884 percent,1725084249.2163212
13,1725084249.5157826,30.0 kilometer_per_hour,91 degree_Celsius,83.13725490196079 percent,20.5 degree,,,,24.705882352941178 percent,1725084249.7555447
14,1725084250.0549946,31.0 kilometer_per_hour,91 degree_Celsius,81.56862745098039 percent,20.0 degree,,,,24.313725490196077 percent,1725084250.2947955
15,1725084250.5941374,31.0 kilometer_per_hour,91 degree_Celsius,80.0 percent,19.5 degree,,,,24.313725490196077 percent,1725084250.8401735
16,1725084251.1330965,32.0 kilometer_per_hour,92 degree_Celsius,78.82352941176471 percent,19.5 degree,,,,23.529411764705884 percent,1725084251.3735807
17,1725084251.673041,32.0 kilometer_per_hour,92 degree_Celsius,39.21568627450981 percent,29.5 degree,,,,17.254901960784313 percent,1725084251.9123855
18,1725084252.2119102,32.0 kilometer_per_hour,92 degree_Celsius,30.19607843137255 percent,34.5 degree,,,,16.07843137254902 percent,1725084252.4522817
19,1725084252.751839,32.0 kilometer_per_hour,92 degree_Celsius,25.49019607843137 percent,38.5 degree,,,,15.686274509803921 percent,1725084252.9920018
20,1725084253.2913039,31.0 kilometer_per_hour,92 degree_Celsius,22.745098039215687 percent,38.5 degree,,,,18.823529411764707 percent,1725084253.5313232
21,1725084253.8310814,30.0 kilometer_per_hour,92 degree_Celsius,38.431372549019606 percent,20.5 degree,,,,18.823529411764707 percent,1725084254.0712357
22,1725084254.3732214,30.0 kilometer_per_hour,92 degree_Celsius,36.470588235294116 percent,29.5 degree,,,,15.686274509803921 percent,1725084254.6149406
23,1725084254.9105964,29.0 kilometer_per_hour,92 degree_Celsius,30.980392156862745 percent,29.5 degree,,,,20.0 percent,1725084255.1526594
24,1725084255.454355,29.0 kilometer_per_hour,92 degree_Celsius,59.6078431372549 percent,9.0 degree,,,,21.568627450980394 percent,1725084255.6956637
25,1725084255.9975488,30.0 kilometer_per_hour,92 degree_Celsius,66.27450980392157 percent,23.5 degree,,,,21.568627450980394 percent,1725084256.2385967
26,1725084256.5403357,30.0 kilometer_per_hour,92 degree_Celsius,81.17647058823529 percent,22.0 degree,,,,22.745098039215687 percent,1725084256.7817218
27,1725084257.0830598,31.0 kilometer_per_hour,92 degree_Celsius,77.6470588235294 percent,22.0 degree,,,,23.137254901960784 percent,1725084257.3243845
28,1725084257.6255822,31.0 kilometer_per_hour,92 degree_Celsius,79.2156862745098 percent,21.5 degree,,,,23.529411764705884 percent,1725084257.866791
29,1725084258.1678884,32.0 kilometer_per_hour,92 degree_Celsius,81.96078431372548 percent,21.0 degree,,,,25.098039215686274 percent,1725084258.4092138
30,1725084258.7101054,33.0 kilometer_per_hour,92 degree_Celsius,84.70588235294117 percent,20.0 degree,,,,25.88235294117647 percent,1725084258.9514015
31,1725084259.2523565,34.0 kilometer_per_hour,93 degree_Celsius,62.745098039215684 percent,26.5 degree,,,,16.07843137254902 percent,1725084259.4932015
32,1725084259.7943342,34.0 kilometer_per_hour,93 degree_Celsius,33.333333333333336 percent,31.0 degree,,,,16.470588235294116 percent,1725084260.0353854
33,1725084260.33601,34.0 kilometer_per_hour,93 degree_Celsius,27.84313725490196 percent,35.0 degree,,,,15.686274509803921 percent,1725084260.5830393
34,1725084260.8778968,33.0 kilometer_per_hour,93 degree_Celsius,22.745098039215687 percent,33.5 degree,,,,15.294117647058824 percent,1725084261.1248996
35,1725084261.4194484,32.0 kilometer_per_hour,93 degree_Celsius,46.27450980392157 percent,11.5 degree,,,,22.352941176470587 percent,1725084261.6660385
36,1725084261.9607978,33.0 kilometer_per_hour,93 degree_Celsius,72.94117647058823 percent,24.0 degree,,,,24.705882352941178 percent,1725084262.2018602
37,1725084262.5019531,33.0 kilometer_per_hour,93 degree_Celsius,96.47058823529412 percent,19.5 degree,,,,36.86274509803921 percent,1725084262.7491934
0,1725084277.1972153,60.0 kilometer_per_hour,94 degree_Celsius,16.470588235294116 percent,3.0 degree,,,,15.686274509803921 percent,1725084277.437046
1,1725084277.737613,60.0 kilometer_per_hour,94 degree_Celsius,16.862745098039216 percent,3.5 degree,,,,15.686274509803921 percent,1725084277.9779143
2,1725084278.277796,59.0 kilometer_per_hour,93 degree_Celsius,17.254901960784313 percent,23.0 degree,,,,16.07843137254902 percent,1725084278.5183096
3,1725084278.818238,59.0 kilometer_per_hour,93 degree_Celsius,21.176470588235293 percent,1.5 degree,,,,15.686274509803921 percent,1725084279.0585063
4,1725084279.3584135,58.0 kilometer_per_hour,93 degree_Celsius,18.431372549019606 percent,2.0 degree,,,,15.686274509803921 percent,1725084279.5986917
5,1725084279.8988488,57.0 kilometer_per_hour,93 degree_Celsius,17.647058823529413 percent,2.5 degree,,,,15.294117647058824 percent,1725084280.133021
6,1725084280.43282,56.0 kilometer_per_hour,93 degree_Celsius,17.647058823529413 percent,2.5 degree,,,,14.901960784313726 percent,1725084280.6731832
7,1725084280.9734068,55.0 kilometer_per_hour,93 degree_Celsius,18.03921568627451 percent,2.5 degree,,,,14.901960784313726 percent,1725084281.2130997
8,1725084281.5135787,52.0 kilometer_per_hour,92 degree_Celsius,18.431372549019606 percent,1.0 degree,,,,14.901960784313726 percent,1725084281.7539885
9,1725084282.0599287,49.0 kilometer_per_hour,92 degree_Celsius,18.431372549019606 percent,0.0 degree,,,,14.509803921568627 percent,1725084282.300344
10,1725084282.6002824,47.0 kilometer_per_hour,92 degree_Celsius,18.431372549019606 percent,-1.0 degree,,,,13.72549019607843 percent,1725084282.8405855
11,1725084283.1344218,44.0 kilometer_per_hour,92 degree_Celsius,18.03921568627451 percent,-0.5 degree,,,,13.333333333333334 percent,1725084283.3747518
12,1725084283.6805558,40.0 kilometer_per_hour,92 degree_Celsius,17.647058823529413 percent,-2.5 degree,,,,13.333333333333334 percent,1725084283.9210188
13,1725084284.2143986,37.0 kilometer_per_hour,92 degree_Celsius,17.647058823529413 percent,-5.0 degree,,,,12.941176470588236 percent,1725084284.4613307
14,1725084284.7613735,32.0 kilometer_per_hour,91 degree_Celsius,18.03921568627451 percent,5.0 degree,,,,19.607843137254903 percent,1725084285.0009549
15,1725084285.3013031,28.0 kilometer_per_hour,91 degree_Celsius,26.274509803921568 percent,-4.5 degree,,,,14.509803921568627 percent,1725084285.541545
16,1725084285.8415942,24.0 kilometer_per_hour,91 degree_Celsius,21.176470588235293 percent,31.5 degree,,,,14.901960784313726 percent,1725084286.08187
17,1725084286.3819218,20.0 kilometer_per_hour,91 degree_Celsius,28.235294117647058 percent,19.5 degree,,,,19.215686274509803 percent,1725084286.6220698
18,1725084286.9220502,17.0 kilometer_per_hour,91 degree_Celsius,40.78431372549019 percent,-12.5 degree,,,,17.254901960784313 percent,1725084287.1623077
19,1725084287.462183,14.0 kilometer_per_hour,91 degree_Celsius,41.568627450980394 percent,-1.0 degree,,,,16.07843137254902 percent,1725084287.6964502
20,1725084288.0020266,14.0 kilometer_per_hour,91 degree_Celsius,40.78431372549019 percent,-0.5 degree,,,,15.686274509803921 percent,1725084288.2429628
21,1725084288.5427024,13.0 kilometer_per_hour,91 degree_Celsius,40.3921568627451 percent,0.0 degree,,,,16.07843137254902 percent,1725084288.782456
22,1725084289.0828824,13.0 kilometer_per_hour,91 degree_Celsius,40.78431372549019 percent,0.0 degree,,,,16.07843137254902 percent,1725084289.323187
23,1725084289.6232066,13.0 kilometer_per_hour,91 degree_Celsius,46.666666666666664 percent,18.0 degree,,,,17.254901960784313 percent,1725084289.8633935
24,1725084290.1633465,13.0 kilometer_per_hour,91 degree_Celsius,70.98039215686275 percent,18.5 degree,,,,22.352941176470587 percent,1725084290.4034314
25,1725084290.703487,14.0 kilometer_per_hour,91 degree_Celsius,72.54901960784314 percent,22.5 degree,,,,24.313725490196077 percent,1725084290.94365
26,1725084291.2436469,16.0 kilometer_per_hour,91 degree_Celsius,83.52941176470588 percent,22.0 degree,,,,26.666666666666668 percent,1725084291.4837916
27,1725084291.7832694,18.0 kilometer_per_hour,91 degree_Celsius,79.6078431372549 percent,21.0 degree,,,,26.666666666666668 percent,1725084292.0242414
28,1725084292.3237774,21.0 kilometer_per_hour,91 degree_Celsius,76.86274509803921 percent,21.5 degree,,,,26.666666666666668 percent,1725084292.564208
29,1725084292.8643692,23.0 kilometer_per_hour,91 degree_Celsius,76.47058823529412 percent,20.5 degree,,,,26.666666666666668 percent,1725084293.1045787
30,1725084293.4044752,25.0 kilometer_per_hour,91 degree_Celsius,78.03921568627452 percent,19.5 degree,,,,27.45098039215686 percent,1725084293.6447778
31,1725084293.9441392,28.0 kilometer_per_hour,91 degree_Celsius,73.72549019607843 percent,19.5 degree,,,,18.823529411764707 percent,1725084294.1849344
32,1725084294.4847987,29.0 kilometer_per_hour,91 degree_Celsius,34.509803921568626 percent,30.0 degree,,,,17.647058823529413 percent,1725084294.724555
33,1725084295.0249739,29.0 kilometer_per_hour,91 degree_Celsius,29.41176470588235 percent,32.5 degree,,,,17.254901960784313 percent,1725084295.2649055
34,1725084295.5650284,29.0 kilometer_per_hour,91 degree_Celsius,25.88235294117647 percent,14.5 degree,,,,16.07843137254902 percent,1725084295.8053327
35,1725084296.1051643,28.0 kilometer_per_hour,91 degree_Celsius,23.137254901960784 percent,6.0 degree,,,,15.686274509803921 percent,1725084296.345511
36,1725084296.6456103,25.0 kilometer_per_hour,92 degree_Celsius,20.784313725490197 percent,-1.0 degree,,,,14.901960784313726 percent,1725084296.8858075
37,1725084297.1857593,22.0 kilometer_per_hour,92 degree_Celsius,20.784313725490197 percent,4.0 degree,,,,14.117647058823529 percent,1725084297.4259717
0,1725084309.412623,50.0 kilometer_per_hour,94 degree_Celsius,78.03921568627452 percent,20.5 degree,,,,30.19607843137255 percent,1725084309.653694
1,1725084309.954711,51.0 kilometer_per_hour,94 degree_Celsius,66.66666666666667 percent,22.5 degree,,,,17.254901960784313 percent,1725084310.1956847
2,1725084310.495967,52.0 kilometer_per_hour,94 degree_Celsius,27.058823529411764 percent,36.0 degree,,,,17.254901960784313 percent,1725084310.7375956
3,1725084311.038158,52.0 kilometer_per_hour,94 degree_Celsius,21.176470588235293 percent,35.0 degree,,,,16.862745098039216 percent,1725084311.278503
4,1725084311.5799737,51.0 kilometer_per_hour,94 degree_Celsius,32.15686274509804 percent,16.5 degree,,,,21.568627450980394 percent,1725084311.8209696
5,1725084312.1215835,51.0 kilometer_per_hour,94 degree_Celsius,57.254901960784316 percent,28.0 degree,,,,23.137254901960784 percent,1725084312.3625085
6,1725084312.6629965,52.0 kilometer_per_hour,94 degree_Celsius,64.70588235294117 percent,26.5 degree,,,,23.92156862745098 percent,1725084312.9038863
7,1725084313.2044857,53.0 kilometer_per_hour,94 degree_Celsius,69.01960784313725 percent,26.0 degree,,,,23.529411764705884 percent,1725084313.445202
8,1725084313.7457166,54.0 kilometer_per_hour,94 degree_Celsius,67.84313725490196 percent,4.5 degree,,,,24.705882352941178 percent,1725084313.986489
9,1725084314.2868142,54.0 kilometer_per_hour,94 degree_Celsius,79.6078431372549 percent,22.0 degree,,,,24.705882352941178 percent,1725084314.5276144
10,1725084314.8281786,55.0 kilometer_per_hour,94 degree_Celsius,79.2156862745098 percent,22.0 degree,,,,24.705882352941178 percent,1725084315.06877
11,1725084315.3690383,56.0 kilometer_per_hour,94 degree_Celsius,79.2156862745098 percent,21.0 degree,,,,24.705882352941178 percent,1725084315.6098359
12,1725084315.9103258,56.0 kilometer_per_hour,94 degree_Celsius,77.6470588235294 percent,21.0 degree,,,,24.705882352941178 percent,1725084316.1507568
13,1725084316.4511385,57.0 kilometer_per_hour,94 degree_Celsius,77.25490196078431 percent,21.5 degree,,,,24.705882352941178 percent,1725084316.6919045
14,1725084316.9922779,58.0 kilometer_per_hour,94 degree_Celsius,75.68627450980392 percent,21.5 degree,,,,24.705882352941178 percent,1725084317.232883
15,1725084317.5332873,58.0 kilometer_per_hour,94 degree_Celsius,74.90196078431373 percent,21.5 degree,,,,24.313725490196077 percent,1725084317.773758
16,1725084318.0734262,59.0 kilometer_per_hour,94 degree_Celsius,74.50980392156863 percent,21.0 degree,,,,24.313725490196077 percent,1725084318.3142712
17,1725084318.6147938,60.0 kilometer_per_hour,93 degree_Celsius,73.33333333333333 percent,21.5 degree,,,,24.313725490196077 percent,1725084318.8551934
18,1725084319.155546,60.0 kilometer_per_hour,93 degree_Celsius,72.94117647058823 percent,21.5 degree,,,,24.313725490196077 percent,1725084319.3961875
19,1725084319.6963592,61.0 kilometer_per_hour,93 degree_Celsius,71.76470588235294 percent,22.0 degree,,,,24.313725490196077 percent,1725084319.9368114
20,1725084320.236943,61.0 kilometer_per_hour,93 degree_Celsius,71.76470588235294 percent,22.5 degree,,,,24.313725490196077 percent,1725084320.4775715
21,1725084320.77782,62.0 kilometer_per_hour,93 degree_Celsius,71.37254901960785 percent,22.5 degree,,,,24.313725490196077 percent,1725084321.0176756
