,Start_Time,SPEED,Coolant Temp,Engine Load,Timing Advance,Short Trim B1,Long Trim B1,MAF,Throttle_pos,End_Time
9,1725087974.685423,23.0 kilometer_per_hour,91 degree_Celsius,21.176470588235293 percent,5.5 degree,,,,14.901960784313726 percent,1725087974.9313126
10,1725087975.2240512,22.0 kilometer_per_hour,91 degree_Celsius,20.784313725490197 percent,6.5 degree,,,,14.509803921568627 percent,1725087975.4647546
11,1725087975.7637734,19.0 kilometer_per_hour,91 degree_Celsius,20.784313725490197 percent,17.0 degree,,,,17.647058823529413 percent,1725087976.003396
12,1725087976.303312,17.0 kilometer_per_hour,91 degree_Celsius,32.549019607843135 percent,3.0 degree,,,,17.254901960784313 percent,1725087976.543216
13,1725087976.8424532,14.0 kilometer_per_hour,91 degree_Celsius,39.21568627450981 percent,-1.5 degree,,,,16.470588235294116 percent,1725087977.0825987
14,1725087977.382004,14.0 kilometer_per_hour,91 degree_Celsius,40.0 percent,-2.5 degree,,,,16.07843137254902 percent,1725087977.6217391
15,1725087977.9213045,13.0 kilometer_per_hour,91 degree_Celsius,41.96078431372549 percent,-2.0 degree,,,,16.07843137254902 percent,1725087978.1612148
16,1725087978.4607959,12.0 kilometer_per_hour,91 degree_Celsius,45.88235294117647 percent,-0.5 degree,,,,17.647058823529413 percent,1725087978.700582
17,1725087978.9995506,12.0 kilometer_per_hour,91 degree_Celsius,49.01960784313726 percent,-5.5 degree,,,,16.470588235294116 percent,1725087979.2398741
18,1725087979.5394397,12.0 kilometer_per_hour,91 degree_Celsius,60.78431372549019 percent,14.5 degree,,,,18.823529411764707 percent,1725087979.7787592
19,1725087980.0788279,11.0 kilometer_per_hour,91 degree_Celsius,74.90196078431373 percent,19.5 degree,,,,22.352941176470587 percent,1725087980.3187284
20,1725087980.6182125,12.0 kilometer_per_hour,91 degree_Celsius,72.54901960784314 percent,23.5 degree,,,,23.137254901960784 percent,1725087980.858219
21,1725087981.1577127,14.0 kilometer_per_hour,91 degree_Celsius,54.90196078431372 percent,30.5 degree,,,,12.941176470588236 percent,1725087981.3975377
22,1725087981.6971796,15.0 kilometer_per_hour,91 degree_Celsius,34.90196078431372 percent,12.5 degree,,,,13.333333333333334 percent,1725087981.9371297
23,1725087982.236601,15.0 kilometer_per_hour,91 degree_Celsius,38.8235294117647 percent,2.0 degree,,,,15.686274509803921 percent,1725087982.4766064
24,1725087982.7757056,14.0 kilometer_per_hour,92 degree_Celsius,38.431372549019606 percent,3.0 degree,,,,16.07843137254902 percent,1725087983.0159132
25,1725087983.3154192,14.0 kilometer_per_hour,92 degree_Celsius,39.6078431372549 percent,2.0 degree,,,,16.07843137254902 percent,1725087983.5553918
26,1725087983.8550272,14.0 kilometer_per_hour,92 degree_Celsius,40.78431372549019 percent,-0.5 degree,,,,16.07843137254902 percent,1725087984.0950487
27,1725087984.394616,14.0 kilometer_per_hour,92 degree_Celsius,41.96078431372549 percent,-1.0 degree,,,,16.07843137254902 percent,1725087984.6346202
28,1725087984.934128,13.0 kilometer_per_hour,92 degree_Celsius,41.96078431372549 percent,-1.5 degree,,,,16.07843137254902 percent,1725087985.173998
29,1725087985.4736485,13.0 kilometer_per_hour,92 degree_Celsius,43.13725490196079 percent,-1.5 degree,,,,16.470588235294116 percent,1725087985.7135425
30,1725087986.013047,13.0 kilometer_per_hour,92 degree_Celsius,43.92156862745098 percent,-1.0 degree,,,,17.254901960784313 percent,1725087986.2530901
31,1725087986.5521119,11.0 kilometer_per_hour,92 degree_Celsius,53.72549019607843 percent,1.0 degree,,,,18.03921568627451 percent,1725087986.7923422
32,1725087987.0919895,9.0 kilometer_per_hour,92 degree_Celsius,60.0 percent,-3.5 degree,,,,12.156862745098039 percent,1725087987.3320427
33,1725087987.6315992,8.0 kilometer_per_hour,92 degree_Celsius,53.72549019607843 percent,-3.0 degree,,,,13.72549019607843 percent,1725087987.8718083
34,1725087988.171341,8.0 kilometer_per_hour,92 degree_Celsius,60.3921568627451 percent,-10.0 degree,,,,18.03921568627451 percent,1725087988.4113026
35,1725087988.7107587,8.0 kilometer_per_hour,93 degree_Celsius,60.0 percent,27.0 degree,,,,22.352941176470587 percent,1725087988.950895
36,1725087989.2503412,9.0 kilometer_per_hour,93 degree_Celsius,56.07843137254902 percent,27.0 degree,,,,12.156862745098039 percent,1725087989.489754
37,1725087989.7898269,10.0 kilometer_per_hour,93 degree_Celsius,37.254901960784316 percent,12.0 degree,,,,17.254901960784313 percent,1725087990.0300457
0,1725088006.4293165,9.0 kilometer_per_hour,95 degree_Celsius,42.35294117647059 percent,31.5 degree,,,,18.03921568627451 percent,1725088006.6692953
1,1725088006.9690368,9.0 kilometer_per_hour,95 degree_Celsius,41.568627450980394 percent,31.0 degree,,,,18.431372549019606 percent,1725088007.2087939
2,1725088007.5085633,9.0 kilometer_per_hour,95 degree_Celsius,42.35294117647059 percent,31.5 degree,,,,18.431372549019606 percent,1725088007.7486548
3,1725088008.0486085,10.0 kilometer_per_hour,95 degree_Celsius,40.78431372549019 percent,33.0 degree,,,,18.431372549019606 percent,1725088008.2881334
4,1725088008.5942888,10.0 kilometer_per_hour,95 degree_Celsius,43.92156862745098 percent,32.0 degree,,,,19.215686274509803 percent,1725088008.828053
5,1725088009.1277497,10.0 kilometer_per_hour,95 degree_Celsius,49.411764705882355 percent,29.5 degree,,,,19.215686274509803 percent,1725088009.367974
6,1725088009.6675751,11.0 kilometer_per_hour,95 degree_Celsius,55.68627450980392 percent,27.5 degree,,,,19.215686274509803 percent,1725088009.9076219
7,1725088010.2071807,12.0 kilometer_per_hour,95 degree_Celsius,54.90196078431372 percent,27.5 degree,,,,19.607843137254903 percent,1725088010.447385
8,1725088010.7470217,13.0 kilometer_per_hour,95 degree_Celsius,52.15686274509804 percent,29.5 degree,,,,18.823529411764707 percent,1725088010.9867606
9,1725088011.2860737,13.0 kilometer_per_hour,95 degree_Celsius,47.84313725490196 percent,30.5 degree,,,,18.431372549019606 percent,1725088011.5267756
10,1725088011.8264349,14.0 kilometer_per_hour,95 degree_Celsius,47.05882352941177 percent,30.5 degree,,,,18.431372549019606 percent,1725088012.0658135
11,1725088012.366556,14.0 kilometer_per_hour,94 degree_Celsius,46.27450980392157 percent,31.0 degree,,,,18.03921568627451 percent,1725088012.6063197
12,1725088012.9059758,15.0 kilometer_per_hour,94 degree_Celsius,45.09803921568628 percent,32.0 degree,,,,18.823529411764707 percent,1725088013.1459746
13,1725088013.445684,15.0 kilometer_per_hour,94 degree_Celsius,46.666666666666664 percent,31.5 degree,,,,18.823529411764707 percent,1725088013.6856694
14,1725088013.9852805,16.0 kilometer_per_hour,94 degree_Celsius,47.84313725490196 percent,31.0 degree,,,,18.823529411764707 percent,1725088014.2253895
15,1725088014.5251036,16.0 kilometer_per_hour,94 degree_Celsius,48.627450980392155 percent,31.0 degree,,,,16.07843137254902 percent,1725088014.7651653
16,1725088015.0643244,17.0 kilometer_per_hour,94 degree_Celsius,34.11764705882353 percent,13.5 degree,,,,16.470588235294116 percent,1725088015.304947
17,1725088015.6045697,16.0 kilometer_per_hour,94 degree_Celsius,32.15686274509804 percent,29.0 degree,,,,16.862745098039216 percent,1725088015.8442936
18,1725088016.1443555,16.0 kilometer_per_hour,94 degree_Celsius,31.372549019607842 percent,20.5 degree,,,,16.862745098039216 percent,1725088016.3843942
