obd_ABSOLUTE_LOAD,obd_BAROMETRIC_PRESSURE,obd_CALIBRATION_ID,obd_CALIBRATION_ID_MESSAGE_COUNT,obd_CATALYST_TEMP_B1S1,obd_CATALYST_TEMP_B1S2,obd_CLEAR_DTC,obd_COMMANDED_EGR,obd_COMMANDED_EQUIV_RATIO,obd_CONTROL_MODULE_VOLTAGE,obd_COOLANT_TEMP,obd_CVN,obd_CVN_MESSAGE_COUNT,obd_DISTANCE_SINCE_DTC_CLEAR,obd_DISTANCE_W_MIL,obd_DTC_ABSOLUTE_LOAD,obd_DTC_BAROMETRIC_PRESSURE,obd_DTC_CATALYST_TEMP_B1S1,obd_DTC_CATALYST_TEMP_B1S2,obd_DTC_COMMANDED_EGR,obd_DTC_COMMANDED_EQUIV_RATIO,obd_DTC_CONTROL_MODULE_VOLTAGE,obd_DTC_COOLANT_TEMP,obd_DTC_DISTANCE_SINCE_DTC_CLEAR,obd_DTC_DISTANCE_W_MIL,obd_DTC_ENGINE_LOAD,obd_DTC_EVAPORATIVE_PURGE,obd_DTC_FUEL_STATUS,obd_DTC_FUEL_TYPE,obd_DTC_INTAKE_PRESSURE,obd_DTC_INTAKE_TEMP,obd_DTC_LONG_FUEL_TRIM_1,obd_DTC_MAF,obd_DTC_O2_B1S2,obd_DTC_O2_S1_WR_CURRENT,obd_DTC_O2_S1_WR_VOLTAGE,obd_DTC_O2_SENSORS,obd_DTC_OBD_COMPLIANCE,obd_DTC_PIDS_B,obd_DTC_PIDS_C,obd_DTC_RELATIVE_THROTTLE_POS,obd_DTC_RPM,obd_DTC_RUN_TIME,obd_DTC_RUN_TIME_MIL,obd_DTC_SHORT_FUEL_TRIM_1,obd_DTC_SPEED,obd_DTC_STATUS,obd_DTC_THROTTLE_ACTUATOR,obd_DTC_THROTTLE_POS,obd_DTC_THROTTLE_POS_B,obd_DTC_TIME_SINCE_DTC_CLEARED,obd_DTC_TIMING_ADVANCE,obd_DTC_WARMUPS_SINCE_DTC_CLEAR,obd_ELM_VERSION,obd_ELM_VOLTAGE,obd_ENGINE_LOAD,obd_EVAPORATIVE_PURGE,obd_FUEL_STATUS,obd_FUEL_TYPE,obd_GET_CURRENT_DTC,obd_GET_DTC,obd_INTAKE_PRESSURE,obd_INTAKE_TEMP,obd_LONG_FUEL_TRIM_1,obd_MAF,obd_MIDS_A,obd_O2_B1S2,obd_O2_S1_WR_CURRENT,obd_O2_S1_WR_VOLTAGE,obd_O2_SENSORS,obd_OBD_COMPLIANCE,obd_PIDS_9A,obd_PIDS_A,obd_PIDS_B,obd_PIDS_C,obd_RELATIVE_THROTTLE_POS,obd_RPM,obd_RUN_TIME,obd_RUN_TIME_MIL,obd_SHORT_FUEL_TRIM_1,obd_SPEED,obd_STATUS,obd_THROTTLE_ACTUATOR,obd_THROTTLE_POS,obd_THROTTLE_POS_B,obd_TIME_SINCE_DTC_CLEARED,obd_TIMING_ADVANCE,obd_VIN,obd_VIN_MESSAGE_COUNT,obd_WARMUPS_SINCE_DTC_CLEAR,obd_TIMESTAMP,timestamp,esp_Timestamp,esp_GPS_Status,esp_Latitude,esp_Longitude,esp_Acc_X,esp_Acc_Y,esp_Acc_Z,esp_Gyro_X,esp_Gyro_Y,esp_Gyro_Z,esp_Vibration_Status,timestamp
,101 kilopascal,bytearray(b''),1 count,69.2 degree_Celsius,,,5.098039215686274 percent,,14.806000000000001 volt,83 degree_Celsius,,0 count,51231.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,0.0 percent,,,Gasoline,[],[],115 kilopascal,28 degree_Celsius,,13.11 gps,000000000000000000000001,,,,,EOBD (Europe),1111111111111111111111111111111100000000,10111110001111111010100000010011,10010000000101011011000000010101,01111010000111001000000000000000,,1020.0 revolutions_per_minute,140.0 second,0.0 minute,,84.0 kilometer_per_hour,,0.0 percent,100.0 percent,,19561.0 minute,,bytearray(b'WP0ZZZ99ZTS39'),1 count,,2025-03-07 18:48:37.630779,2025-03-07 18:48:39,2025-03-07 18:48:37,Signal Acquired,15.262501,73.978082,-0.29,1.36,9.22,-0.01,0.02,-0.0,NO,2025-03-07 18:48:39
,101 kilopascal,bytearray(b''),1 count,69.2 degree_Celsius,,,5.098039215686274 percent,,14.806000000000001 volt,83 degree_Celsius,,0 count,51231.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.6 volt,0.0 percent,,,Gasoline,[],[],115 kilopascal,28 degree_Celsius,,13.11 gps,000000000000000000000001,,,,,EOBD (Europe),1111111111111111111111111111111100000000,10111110001111111010100000010011,10010000000101011011000000010101,01111010000111001000000000000000,,1040.0 revolutions_per_minute,140.0 second,0.0 minute,,88.0 kilometer_per_hour,,0.0 percent,100.0 percent,,19561.0 minute,,bytearray(b'MAT403096BNL'),1 count,,2025-03-07 18:48:38.426208,2025-03-07 18:48:39,2025-03-07 18:48:38,Signal Acquired,15.262501,73.978082,-0.28,1.36,9.21,-0.01,0.02,-0.0,NO,2025-03-07 18:48:39
