ABSOLUTE_LOAD,BAROMETRIC_PRESSURE,CALIBRATION_ID,CALIBRATION_ID_MESSAGE_COUNT,CATALYST_TEMP_B1S1,CATALYST_TEMP_B1S2,CLEAR_DTC,COMMANDED_EGR,COMMANDED_EQUIV_RATIO,CONTROL_MODULE_VOLTAGE,COOLANT_TEMP,CVN,CVN_MESSAGE_COUNT,DISTANCE_SINCE_DTC_CLEAR,DISTANCE_W_MIL,DTC_ABSOLUTE_LOAD,DTC_BAROMETRIC_PRESSURE,DTC_CATALYST_TEMP_B1S1,DTC_CATALYST_TEMP_B1S2,DTC_COMMANDED_EGR,DTC_COMMANDED_EQUIV_RATIO,DTC_CONTROL_MODULE_VOLTAGE,DTC_COOLANT_TEMP,DTC_DISTANCE_SINCE_DTC_CLEAR,DTC_DISTANCE_W_MIL,DTC_ENGINE_LOAD,DTC_EVAPORATIVE_PURGE,DTC_FUEL_STATUS,DTC_FUEL_TYPE,DTC_INTAKE_PRESSURE,DTC_INTAKE_TEMP,DTC_LONG_FUEL_TRIM_1,DTC_MAF,DTC_O2_B1S2,DTC_O2_S1_WR_CURRENT,DTC_O2_S1_WR_VOLTAGE,DTC_O2_SENSORS,DTC_OBD_COMPLIANCE,DTC_PIDS_B,DTC_PIDS_C,DTC_RELATIVE_THROTTLE_POS,DTC_RPM,DTC_RUN_TIME,DTC_RUN_TIME_MIL,DTC_SHORT_FUEL_TRIM_1,DTC_SPEED,DTC_STATUS,DTC_THROTTLE_ACTUATOR,DTC_THROTTLE_POS,DTC_THROTTLE_POS_B,DTC_TIME_SINCE_DTC_CLEARED,DTC_TIMING_ADVANCE,DTC_WARMUPS_SINCE_DTC_CLEAR,ELM_VERSION,ELM_VOLTAGE,ENGINE_LOAD,EVAPORATIVE_PURGE,FUEL_STATUS,FUEL_TYPE,GET_CURRENT_DTC,GET_DTC,INTAKE_PRESSURE,INTAKE_TEMP,LONG_FUEL_TRIM_1,MAF,MIDS_A,O2_B1S2,O2_S1_WR_CURRENT,O2_S1_WR_VOLTAGE,O2_SENSORS,OBD_COMPLIANCE,PIDS_9A,PIDS_A,PIDS_B,PIDS_C,RELATIVE_THROTTLE_POS,RPM,RUN_TIME,RUN_TIME_MIL,SHORT_FUEL_TRIM_1,SPEED,STATUS,THROTTLE_ACTUATOR,THROTTLE_POS,THROTTLE_POS_B,TIME_SINCE_DTC_CLEARED,TIMING_ADVANCE,VIN,VIN_MESSAGE_COUNT,WARMUPS_SINCE_DTC_CLEAR,TIMESTAMP_OBD,MERGED_TIMESTAMP,TIMESTAMP_EPS8266,GPS_STATUS,LATITUDE,LONGITUDE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,VIBRATION_STATUS
,101 kilopascal,bytearray(b''),1 count,69.2 degree_Celsius,,,5.098039215686274 percent,,14.806000000000001 volt,83 degree_Celsius,,0 count,51231.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.6 volt,0.0 percent,,,Gasoline,[],[],115 kilopascal,28 degree_Celsius,,13.11 gps,000000000000000000000001,,,,,EOBD (Europe),1111111111111111111111111111111100000000,10111110001111111010100000010011,10010000000101011011000000010101,01111010000111001000000000000000,,700.0 revolutions_per_minute,140.0 second,0.0 minute,,20.0 kilometer_per_hour,,0.0 percent,100.0 percent,,19561.0 minute,,bytearray(b'WP0ZZZ99ZTS39'),1 count,,2025-07-03 21:49:05,2025-07-03 21:49:06,2025-07-03 21:49:05,Signal Acquired,15.262541,73.978185,0.29,0.18,9.13,-0.01,0.02,0.0,NO
,101 kilopascal,bytearray(b''),1 count,69.2 degree_Celsius,,,5.098039215686274 percent,,14.806000000000001 volt,83 degree_Celsius,,0 count,51231.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,0.0 percent,,,Gasoline,[],[],115 kilopascal,28 degree_Celsius,,13.11 gps,000000000000000000000001,,,,,EOBD (Europe),1111111111111111111111111111111100000000,10111110001111111010100000010011,10010000000101011011000000010101,01111010000111001000000000000000,,720.0 revolutions_per_minute,140.0 second,0.0 minute,,24.0 kilometer_per_hour,,0.0 percent,100.0 percent,,19561.0 minute,,bytearray(b'MAT403096BNL'),1 count,,2025-07-03 21:49:05,2025-07-03 21:49:06,2025-07-03 21:49:05,Signal Acquired,15.262541,73.978185,0.29,0.17,9.09,-0.01,0.02,0.0,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-03 21:49:05,Signal Acquired,15.262542,73.978186,0.28,0.18,9.16,-0.01,0.02,0.0,NO
