timestamp,latitude,longitude,altitude
1722509732.532964,15.262320333333333,73.97874283333333,88.8
1722509746.544896,0.0,0.0,
1722512813.577303,15.262476,73.97824483333333,38.6
1722512822.307714,15.2624725,73.97823333333334,36.9
1722512831.0495696,15.2624695,73.97822383333333,35.2
1722512839.9334302,15.262466833333333,73.9782155,33.9
1722512848.7085419,15.262465333333333,73.978214,33.2
1722512857.4449215,15.262464166666666,73.97821333333333,32.7
1722513433.5155199,0.0,0.0,
1722513443.3453207,0.0,0.0,
1722513464.5135357,0.0,0.0,
1722513474.2947595,0.0,0.0,
1722514063.605106,15.262443666666666,73.97814633333333,11.1
1722514073.399769,15.262443666666666,73.97814883333334,11.3
1722514083.1774487,15.262443666666666,73.97814833333334,11.4
1722514092.9464576,15.2624435,73.97814733333334,11.3
1722517457.6338522,15.2625095,73.97814833333334,18.3
1722517658.6378284,15.262543333333333,73.97814383333333,21.0
1722518421.6327584,15.262492333333334,73.978002,1.1
1722518430.6489694,15.262492333333334,73.97800066666667,1.4
1722518439.6672316,15.2624915,73.9780095,1.5
1722518448.68588,15.262490166666666,73.978017,1.8
1722518457.7030325,15.262490333333334,73.9780225,1.8
1722518466.718575,15.26249,73.97803366666666,1.6
1722518502.6340466,15.262506333333333,73.97815216666666,9.6
1722518745.627584,15.262562833333334,73.977876,10.1
1722518790.636398,15.2625345,73.97808,11.8
1722518941.6373546,15.262486666666666,73.97812916666666,15.5
1722519285.6331742,15.262545833333334,73.97826016666667,-4.5
1722519294.9564142,15.262548,73.978265,-4.4
1722519304.28164,15.262549333333334,73.97826283333333,-4.1
1722519313.606492,15.26255,73.97826233333333,-3.9
1722519322.631485,15.262549333333334,73.978256,-3.8
1722519331.959205,15.262548833333334,73.9782545,-3.5
1722623003.4659293,15.262581333333333,73.97794566666667,-9.7
1722623010.470638,15.262581,73.97794483333334,-9.5
1722623017.4732862,15.262580333333334,73.9779425,-9.4
1722623024.475884,15.262580166666666,73.97794316666666,-9.3
