Timestamp_OBD,STATUS,FUEL_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,INTAKE_PRESSURE,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,THROTTLE_POS,O2_SENSORS,O2_B1S1,O2_B1S2,OBD_COMPLIANCE,RUN_TIME,PIDS_B,DISTANCE_W_MIL,EVAPORATIVE_PURGE,WARMUPS_SINCE_DTC_CLEAR,DISTANCE_SINCE_DTC_CLEAR,BAROMETRIC_PRESSURE,PIDS_C,CONTROL_MODULE_VOLTAGE,ABSOLUTE_LOAD,RELATIVE_THROTTLE_POS,THROTTLE_POS_B,ACCELERATOR_POS_D,ACCELERATOR_POS_E,THROTTLE_ACTUATOR
1738911692.0148795,<obd.OBDResponse.Status object at 0x7f06aff21a90>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",24.313725490196077,89,-5.46875,12.5,32,962.0,11.0,5.0,45,15.686274509803921,"((), (False, False, False, False), (False, False, True, True))",0.405,0.17,India OBD II (IOBD II),319.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.688,19.607843137254903,5.490196078431373,15.686274509803921,14.901960784313726,7.450980392156863,7.0588235294117645
1738911694.5645514,<obd.OBDResponse.Status object at 0x7f06aff33a50>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",27.84313725490196,90,-0.78125,11.71875,36,797.0,5.0,4.5,45,15.294117647058824,"((), (False, False, False, False), (False, False, True, True))",0.795,0.17,India OBD II (IOBD II),322.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.64,20.784313725490197,5.098039215686274,15.294117647058824,14.901960784313726,7.450980392156863,6.666666666666667
1738911697.1083925,<obd.OBDResponse.Status object at 0x7f06aff41d50>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",27.45098039215686,90,-3.90625,11.71875,36,780.5,0.0,7.5,45,15.294117647058824,"((), (False, False, False, False), (False, False, True, True))",0.19,0.165,India OBD II (IOBD II),324.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.57,20.784313725490197,5.098039215686274,15.294117647058824,14.901960784313726,7.450980392156863,6.666666666666667
1738911699.6586041,<obd.OBDResponse.Status object at 0x7f06aff3dd50>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",27.058823529411764,90,0.0,12.5,36,797.5,0.0,7.5,45,15.294117647058824,"((), (False, False, False, False), (False, False, True, True))",0.845,0.17,India OBD II (IOBD II),327.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.523,20.784313725490197,5.098039215686274,15.294117647058824,14.901960784313726,7.450980392156863,6.666666666666667
1738911702.196382,<obd.OBDResponse.Status object at 0x7f06aff3aa90>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",27.45098039215686,90,-0.78125,11.71875,35,800.5,0.0,6.5,45,15.294117647058824,"((), (False, False, False, False), (False, False, True, True))",0.09,0.165,India OBD II (IOBD II),329.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.546000000000001,20.392156862745097,5.098039215686274,15.294117647058824,14.901960784313726,7.450980392156863,6.666666666666667
1738911704.7344131,<obd.OBDResponse.Status object at 0x7f06aff27410>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",27.058823529411764,90,-0.78125,12.5,35,796.0,0.0,9.0,45,15.294117647058824,"((), (False, False, False, False), (False, False, True, True))",0.825,0.165,India OBD II (IOBD II),332.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.64,20.392156862745097,5.098039215686274,15.294117647058824,14.901960784313726,7.450980392156863,6.666666666666667
1738911707.2844384,<obd.OBDResponse.Status object at 0x7f06affc8210>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",27.058823529411764,90,0.78125,12.5,35,806.5,0.0,6.5,45,15.294117647058824,"((), (False, False, False, False), (False, False, True, True))",0.83,0.17,India OBD II (IOBD II),334.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.593,20.392156862745097,5.098039215686274,15.294117647058824,14.901960784313726,7.450980392156863,6.666666666666667
1738911709.8339012,<obd.OBDResponse.Status object at 0x7f06aff2b9d0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",27.45098039215686,90,-0.78125,11.71875,36,794.5,0.0,7.5,45,15.294117647058824,"((), (False, False, False, False), (False, False, True, True))",0.09,0.165,India OBD II (IOBD II),337.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.664,20.784313725490197,5.098039215686274,15.294117647058824,14.901960784313726,7.450980392156863,6.666666666666667
1738911712.3839395,<obd.OBDResponse.Status object at 0x7f06aff3d550>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",27.058823529411764,90,1.5625,12.5,35,813.0,0.0,8.0,45,15.294117647058824,"((), (False, False, False, False), (False, False, True, True))",0.85,0.165,India OBD II (IOBD II),339.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.64,20.392156862745097,5.098039215686274,15.294117647058824,14.901960784313726,7.450980392156863,6.666666666666667
1738911714.9341154,<obd.OBDResponse.Status object at 0x7f06aff0c5d0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",27.058823529411764,90,-0.78125,12.5,35,811.5,0.0,8.0,45,15.294117647058824,"((), (False, False, False, False), (False, False, True, True))",0.075,0.17,India OBD II (IOBD II),342.0,10000000000001011010000000000001,0.0,0.0,255.0,32781.0,100,01101010110100000000000000000000,13.593,20.392156862745097,5.098039215686274,15.294117647058824,14.901960784313726,7.450980392156863,6.666666666666667
