Timestamp,STATUS,FUEL_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,INTAKE_PRESSURE,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,THROTTLE_POS,O2_SENSORS,O2_B1S1,OBD_COMPLIANCE,RUN_TIME,PIDS_B,DISTANCE_W_MIL,EVAPORATIVE_PURGE,WARMUPS_SINCE_DTC_CLEAR,DISTANCE_SINCE_DTC_CLEAR,BAROMETRIC_PRESSURE,PIDS_C,CONTROL_MODULE_VOLTAGE,ABSOLUTE_LOAD,RELATIVE_THROTTLE_POS
1726904005.0175712,<obd.OBDResponse.Status object at 0x7fd48e96c890>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",94.11764705882354,90,-2.34375,0.0,69,3435.75,58.0,5.0,38,16.470588235294116,"((), (False, False, False, False), (False, False, False, True))",0.01,EOBD (Europe),544.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,99,01101000000000000000000000000000,14.043000000000001,60.78431372549019,42.35294117647059
1726904006.21184,<obd.OBDResponse.Status object at 0x7fd48e9807d0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",96.86274509803921,90,-1.5625,0.78125,100,2393.25,60.0,2.0,38,61.96078431372549,"((), (False, False, False, False), (False, False, False, True))",0.81,EOBD (Europe),545.0,10000000000001011010000000000001,0.0,12.549019607843137,10.0,205.0,100,01101000000000000000000000000000,14.16,61.17647058823529,45.88235294117647
1726904007.406335,<obd.OBDResponse.Status object at 0x7fd48e981c50>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",96.07843137254902,90,-3.90625,0.78125,101,2493.75,62.0,3.0,38,61.96078431372549,"((), (False, False, False, False), (False, False, False, True))",0.155,EOBD (Europe),546.0,10000000000001011010000000000001,0.0,32.94117647058823,10.0,205.0,100,01101000000000000000000000000000,14.043000000000001,61.17647058823529,45.88235294117647
1726904008.594628,<obd.OBDResponse.Status object at 0x7fd48e980450>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",96.07843137254902,90,-4.6875,0.78125,99,2584.5,64.0,4.0,38,61.96078431372549,"((), (False, False, False, False), (False, False, False, True))",0.84,EOBD (Europe),547.0,10000000000001011010000000000001,0.0,56.470588235294116,10.0,205.0,100,01101000000000000000000000000000,14.121,61.17647058823529,45.490196078431374
1726904009.788918,<obd.OBDResponse.Status object at 0x7fd48e981390>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",94.90196078431373,90,-5.46875,0.78125,98,2675.75,66.0,6.5,38,32.549019607843135,"((), (False, False, False, False), (False, False, False, True))",0.835,EOBD (Europe),548.0,10000000000001011010000000000001,0.0,8.627450980392156,10.0,205.0,100,01101000000000000000000000000000,13.613,9.411764705882353,0.0
1726904010.9832385,<obd.OBDResponse.Status object at 0x7fd48e9802d0>,"('Open loop due to engine load OR fuel cut due to deceleration', '')",15.686274509803921,90,0.0,0.0,23,2623.5,66.0,5.0,38,16.470588235294116,"((), (False, False, False, False), (False, False, False, True))",0.015,EOBD (Europe),549.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,14.16,12.156862745098039,13.72549019607843
1726904012.1775634,<obd.OBDResponse.Status object at 0x7fd48e98c990>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",92.54901960784314,90,3.125,0.78125,96,2602.0,64.0,4.0,38,45.88235294117647,"((), (False, False, False, False), (False, False, False, True))",0.635,EOBD (Europe),551.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,14.141,59.2156862745098,32.15686274509804
1726904013.3717482,<obd.OBDResponse.Status object at 0x7fd48e98c890>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",94.50980392156863,90,2.34375,0.78125,99,2684.75,67.0,3.5,38,54.11764705882353,"((), (False, False, False, False), (False, False, False, True))",0.405,EOBD (Europe),552.0,10000000000001011010000000000001,0.0,29.41176470588235,10.0,205.0,100,01101000000000000000000000000000,14.18,60.78431372549019,39.6078431372549
1726904014.566064,<obd.OBDResponse.Status object at 0x7fd48e98d150>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",95.68627450980392,89,-3.125,0.78125,98,2763.5,69.0,4.0,38,57.254901960784316,"((), (False, False, False, False), (False, False, False, True))",0.77,EOBD (Europe),553.0,10000000000001011010000000000001,0.0,54.90196078431372,10.0,205.0,100,01101000000000000000000000000000,14.199,60.78431372549019,40.78431372549019
1726904015.7546017,<obd.OBDResponse.Status object at 0x7fd48e98c610>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",48.23529411764706,89,-4.6875,0.0,22,3339.25,69.0,5.0,37,16.470588235294116,"((), (False, False, False, False), (False, False, False, True))",0.13,EOBD (Europe),554.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,14.023,60.78431372549019,41.96078431372549
1726904016.948729,<obd.OBDResponse.Status object at 0x7fd48e98c550>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",96.86274509803921,89,-1.5625,0.78125,98,2269.25,69.0,1.0,37,65.88235294117646,"((), (False, False, False, False), (False, False, False, True))",0.475,EOBD (Europe),555.0,10000000000001011010000000000001,0.0,12.156862745098039,10.0,205.0,100,01101000000000000000000000000000,14.199,61.17647058823529,49.80392156862745
1726904018.1428285,<obd.OBDResponse.Status object at 0x7fd48e98e110>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",96.07843137254902,89,0.78125,0.78125,100,2315.5,71.0,2.0,37,65.88235294117646,"((), (False, False, False, False), (False, False, False, True))",0.19,EOBD (Europe),556.0,10000000000001011010000000000001,0.0,32.15686274509804,10.0,205.0,100,01101000000000000000000000000000,14.199,61.17647058823529,49.80392156862745
1726904019.3372312,<obd.OBDResponse.Status object at 0x7fd48e98d690>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",96.07843137254902,89,0.0,0.78125,101,2352.25,72.0,3.0,37,65.88235294117646,"((), (False, False, False, False), (False, False, False, True))",0.185,EOBD (Europe),558.0,10000000000001011010000000000001,0.0,52.15686274509804,10.0,205.0,100,01101000000000000000000000000000,14.199,61.17647058823529,49.80392156862745
1726904020.5255406,<obd.OBDResponse.Status object at 0x7fd48e98c410>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",96.07843137254902,89,-3.90625,0.78125,98,2394.5,74.0,3.5,37,65.88235294117646,"((), (False, False, False, False), (False, False, False, True))",0.8,EOBD (Europe),559.0,10000000000001011010000000000001,0.0,73.72549019607843,10.0,205.0,100,01101000000000000000000000000000,14.18,61.17647058823529,49.80392156862745
1726904021.7138066,<obd.OBDResponse.Status object at 0x7fd48e98d290>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",96.07843137254902,89,-4.6875,0.78125,99,2451.0,75.0,4.5,37,65.88235294117646,"((), (False, False, False, False), (False, False, False, True))",0.795,EOBD (Europe),560.0,10000000000001011010000000000001,0.0,85.49019607843137,10.0,205.0,100,01101000000000000000000000000000,14.16,61.17647058823529,49.80392156862745
1726904022.9079914,<obd.OBDResponse.Status object at 0x7fd48e98fc90>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",95.68627450980392,89,0.0,0.78125,99,2487.5,76.0,5.0,37,65.88235294117646,"((), (False, False, False, False), (False, False, False, True))",0.485,EOBD (Europe),561.0,10000000000001011010000000000001,0.0,89.80392156862744,10.0,205.0,100,01101000000000000000000000000000,14.18,61.17647058823529,49.80392156862745
1726904024.1023269,<obd.OBDResponse.Status object at 0x7fd48e98ff90>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",95.68627450980392,89,0.0,0.78125,98,2521.5,77.0,5.5,37,65.88235294117646,"((), (False, False, False, False), (False, False, False, True))",0.255,EOBD (Europe),562.0,10000000000001011010000000000001,0.0,91.37254901960785,10.0,205.0,100,01101000000000000000000000000000,14.18,61.17647058823529,49.80392156862745
1726904025.2966714,<obd.OBDResponse.Status object at 0x7fd48e98ea90>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",96.07843137254902,89,-5.46875,0.78125,100,2566.0,79.0,6.0,37,65.88235294117646,"((), (False, False, False, False), (False, False, False, True))",0.725,EOBD (Europe),563.0,10000000000001011010000000000001,0.0,90.19607843137256,10.0,205.0,100,01101000000000000000000000000000,14.297,61.17647058823529,49.80392156862745
1726904026.4907854,<obd.OBDResponse.Status object at 0x7fd48e983a90>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",96.07843137254902,89,0.0,0.78125,99,2631.75,81.0,7.0,37,65.88235294117646,"((), (False, False, False, False), (False, False, False, True))",0.11,EOBD (Europe),565.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,14.199,14.117647058823529,0.0
1726904027.6912162,<obd.OBDResponse.Status object at 0x7fd48e983b90>,"('Open loop due to engine load OR fuel cut due to deceleration', '')",15.686274509803921,90,0.0,0.0,24,2506.75,79.0,5.0,37,16.07843137254902,"((), (False, False, False, False), (False, False, False, True))",0.015,EOBD (Europe),566.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,14.102,10.196078431372548,0.0
1726904028.8854446,<obd.OBDResponse.Status object at 0x7fd48e9835d0>,"('Open loop due to engine load OR fuel cut due to deceleration', '')",16.07843137254902,90,0.0,0.0,23,2289.75,70.0,5.0,37,16.07843137254902,"((), (False, False, False, False), (False, False, False, True))",0.0,EOBD (Europe),567.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,14.18,10.196078431372548,0.0
1726904040.1321003,<obd.OBDResponse.Status object at 0x7fd494cf35d0>,"('Open loop due to insufficient engine temperature', '')",20.784313725490197,88,0.0,0.0,28,1309.75,42.0,10.5,37,16.07843137254902,"((), (False, False, False, False), (False, False, False, True))",0.69,EOBD (Europe),579.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,14.219,12.156862745098039,0.0
1726904041.3204455,<obd.OBDResponse.Status object at 0x7fd48e96dd90>,"('Open loop due to insufficient engine temperature', '')",21.568627450980394,88,0.0,0.0,31,1104.5,31.0,7.5,37,16.07843137254902,"((), (False, False, False, False), (False, False, False, True))",0.835,EOBD (Europe),580.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,13.027000000000001,14.509803921568627,0.0
1726904042.5088809,<obd.OBDResponse.Status object at 0x7fd48e982e50>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.098039215686274,87,-6.25,0.0,34,1045.5,20.0,6.5,37,16.07843137254902,"((), (False, False, False, False), (False, False, False, True))",0.61,EOBD (Europe),581.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,13.125,15.294117647058822,0.0
